model,dataset,mse,mae,value_type,source,source_table,source_url
FEDformer,ETT average,0.408,0.428,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,Exchange,0.519,0.429,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,Traffic,0.610,0.376,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,Weather,0.309,0.360,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
FEDformer,Solar-Energy,0.291,0.381,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Stationary,Electricity,0.193,0.296,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Stationary,ETT average,0.471,0.464,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Stationary,Exchange,0.461,0.454,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Stationary,Traffic,0.624,0.340,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Stationary,Weather,0.288,0.314,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Stationary,Solar-Energy,0.261,0.381,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,Electricity,0.227,0.338,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,ETT average,0.465,0.459,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,Exchange,0.613,0.539,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,Traffic,0.628,0.379,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,Weather,0.338,0.382,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
Autoformer,Solar-Energy,0.885,0.711,published point estimate,TimeMixer++ ICLR 2025 paper,Table 1,https://openreview.net/pdf?id=1CLzLXSFNn
