date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar)
2020/1/1 4:40,1008.02,-1.82,270.72,-2.92,92.1,5.34
2020/1/1 4:50,1007.92,-1.84,270.71,-2.9,92.4,5.33
2020/1/1 5:00,1007.63,-1.84,270.73,-2.78,93.2,5.34
2020/1/1 5:10,1007.63,-2.14,270.44,-3.21,92.3,5.22
2020/1/1 5:20,1007.9,-2.34,270.21,-3.26,93.4,5.14
2020/1/1 5:30,1007.99,-2.2,270.35,-3.05,93.8,5.2
2020/1/1 5:40,1007.85,-2.3,270.25,-3.18,93.7,5.15
2020/1/1 5:50,1007.81,-2.4,270.16,-3.21,94.1,5.12
2020/1/1 6:00,1007.81,-2.51,270.05,-3.34,94,5.08
2020/1/1 6:10,1007.91,-2.83,269.72,-3.64,94.1,4.96
2020/1/1 6:20,1008.06,-2.79,269.75,-3.53,94.6,4.97
2020/1/1 6:30,1008.22,-2.74,269.79,-3.45,94.8,4.99
2020/1/1 6:40,1008.19,-2.63,269.9,-3.31,95,5.03
2020/1/1 6:50,1008.21,-2.5,270.02,-3.19,95,5.08
2020/1/1 7:00,1008.17,-2.26,270.27,-2.94,95,5.17
2020/1/1 7:10,1008.16,-2.31,270.23,-3.09,94.3,5.15
2020/1/1 7:20,1008.17,-2.53,270,-3.39,93.8,5.07
2020/1/1 7:30,1008.13,-2.68,269.86,-3.49,94.1,5.01
2020/1/1 7:40,1008.25,-2.73,269.79,-3.53,94.2,4.99
2020/1/1 7:50,1008.17,-2.79,269.74,-3.57,94.3,4.97
2020/1/1 8:00,1008.16,-2.84,269.69,-3.6,94.5,4.95
2020/1/1 8:10,1008.12,-2.89,269.64,-3.65,94.5,4.93
2020/1/1 8:20,1008.12,-3.02,269.51,-3.79,94.4,4.89
2020/1/1 8:30,1008.12,-2.84,269.7,-3.56,94.7,4.95
2020/1/1 8:40,1008.04,-2.91,269.63,-3.75,93.9,4.93
2020/1/1 8:50,1007.96,-3.11,269.44,-3.99,93.6,4.85
2020/1/1 9:00,1008.07,-3.08,269.46,-3.9,94,4.86
2020/1/1 9:10,1008.17,-3.03,269.5,-3.89,93.8,4.88
2020/1/1 9:20,1008.28,-2.95,269.58,-3.86,93.4,4.91
2020/1/1 9:30,1008.2,-3.01,269.52,-3.99,92.9,4.89
2020/1/1 9:40,1008.31,-2.84,269.69,-3.89,92.4,4.95
2020/1/1 9:50,1008.41,-2.67,269.84,-3.71,92.5,5.02
2020/1/1 10:00,1008.45,-1.93,270.58,-3.18,91.1,5.3
2020/1/1 10:10,1008.5,-1.53,270.98,-3.33,87.4,5.46
2020/1/1 10:20,1008.46,-1.25,271.25,-3.27,86.1,5.57
2020/1/1 10:30,1008.49,-1.24,271.26,-3.25,86.1,5.58
2020/1/1 10:40,1008.37,-1.32,271.19,-3.29,86.4,5.54
2020/1/1 10:50,1008.36,-1.03,271.49,-3.07,85.9,5.67
2020/1/1 11:00,1008.34,-1.14,271.37,-3.08,86.6,5.62
2020/1/1 11:10,1008.21,-0.83,271.7,-2.89,85.8,5.75
2020/1/1 11:20,1008.02,-0.65,271.89,-2.77,85.5,5.82
2020/1/1 11:30,1008.03,-0.43,272.11,-2.63,85,5.92
2020/1/1 11:40,1007.84,-0.4,272.16,-2.63,84.8,5.93
2020/1/1 11:50,1007.69,-0.06,272.5,-2.41,84.1,6.08
2020/1/1 12:00,1007.62,0.68,273.24,-2.03,82,6.42
2020/1/1 12:10,1007.59,0.93,273.5,-2.03,80.5,6.53
2020/1/1 12:20,1007.56,1.23,273.8,-1.8,80.1,6.68
2020/1/1 12:30,1007.44,1.7,274.27,-1.66,78.3,6.91
2020/1/1 12:40,1007.29,1.98,274.57,-1.52,77.5,7.05
2020/1/1 12:50,1007.12,2.62,275.22,-1.29,75.3,7.38
2020/1/1 13:00,1007.04,2.83,275.44,-1.29,74.2,7.49
2020/1/1 13:10,1006.98,2.87,275.48,-1.26,74.1,7.51
2020/1/1 13:20,1006.83,3.09,275.71,-1.13,73.7,7.63
2020/1/1 13:30,1006.79,3.86,276.48,-0.91,70.9,8.06
2020/1/1 13:40,1006.69,3.84,276.48,-0.97,70.7,8.05
2020/1/1 13:50,1006.6,4.03,276.67,-0.92,70,8.15
2020/1/1 14:00,1006.41,3.7,276.35,-1.09,70.8,7.97
2020/1/1 14:10,1006.3,3.45,276.11,-1.06,72.2,7.83
2020/1/1 14:20,1006.26,3.64,276.3,-1.03,71.4,7.93
2020/1/1 14:30,1006.19,3.89,276.56,-1,70.3,8.08
2020/1/1 14:40,1006.06,3.87,276.55,-1,70.4,8.06
2020/1/1 14:50,1006.01,4.32,277.01,-0.83,69.02,8.32
2020/1/1 15:00,1006.01,4.58,277.27,-0.75,68.2,8.48
2020/1/1 15:10,1006.03,4.2,276.89,-0.86,69.47,8.25
2020/1/1 15:20,1006.02,4.07,276.76,-0.82,70.3,8.18
2020/1/1 15:30,1006.02,4.44,277.13,-0.69,69.19,8.39
2020/1/1 15:40,1005.99,4.5,277.19,-0.73,68.67,8.43
2020/1/1 15:50,1005.87,4.34,277.04,-0.91,68.54,8.34
2020/1/1 16:00,1005.83,3.74,276.44,-1.13,70.4,7.99
2020/1/1 16:10,1005.78,3.23,275.93,-1.22,72.5,7.7
2020/1/1 16:20,1005.71,2.99,275.7,-1.28,73.4,7.57
2020/1/1 16:30,1005.71,2.89,275.6,-1.32,73.7,7.52
2020/1/1 16:40,1005.76,2.77,275.48,-1.38,74,7.46
2020/1/1 16:50,1005.88,2.6,275.3,-1.42,74.7,7.37
2020/1/1 17:00,1005.96,2.09,274.79,-1.57,76.6,7.11
2020/1/1 17:10,1005.96,1.63,274.33,-1.62,78.9,6.88
2020/1/1 17:20,1006.03,1.26,273.95,-1.91,79.3,6.69
2020/1/1 17:30,1006,1.03,273.72,-2.08,79.6,6.58
2020/1/1 17:40,1005.96,0.99,273.68,-1.84,81.3,6.56
2020/1/1 17:50,1005.93,0.85,273.55,-1.93,81.6,6.5
2020/1/1 18:00,1005.85,0.63,273.34,-2.09,81.9,6.4
2020/1/1 18:10,1005.81,0.35,273.06,-2.38,81.8,6.27
2020/1/1 18:20,1005.83,0.05,272.75,-2.32,84,6.13
2020/1/1 18:30,1005.78,-0.08,272.63,-2.21,85.5,6.07
2020/1/1 18:40,1005.71,-0.21,272.5,-2.37,85.3,6.01
2020/1/1 18:50,1005.7,-0.62,272.1,-2.69,85.8,5.84
2020/1/1 19:00,1005.68,-1.32,271.4,-3.36,85.9,5.55
2020/1/1 19:10,1005.71,-1.42,271.3,-2.98,89,5.51
2020/1/1 19:20,1005.69,-1.31,271.41,-2.72,90.1,5.55
2020/1/1 19:30,1005.61,-1.33,271.4,-2.8,89.6,5.54
2020/1/1 19:40,1005.49,-1.38,271.36,-2.82,89.8,5.52
2020/1/1 19:50,1005.57,-1.36,271.37,-2.91,89.1,5.53
2020/1/1 20:00,1005.53,-1.48,271.26,-2.94,89.7,5.48
2020/1/1 20:10,1005.46,-1.86,270.88,-3.37,89.3,5.33
2020/1/1 20:20,1005.39,-2.15,270.59,-3.47,90.6,5.21
2020/1/1 20:30,1005.34,-2.18,270.57,-3.3,92,5.2
2020/1/1 20:40,1005.32,-2.24,270.51,-3.32,92.2,5.18
2020/1/1 20:50,1005.26,-2.57,270.19,-3.64,92.3,5.05
2020/1/1 21:00,1005.21,-2.78,269.98,-3.78,92.8,4.97
2020/1/1 21:10,1005.12,-2.85,269.92,-3.7,93.8,4.95
2020/1/1 21:20,1005.07,-2.95,269.82,-3.81,93.7,4.91
2020/1/1 21:30,1005.01,-3.21,269.56,-4.05,93.9,4.82
2020/1/1 21:40,1004.96,-3.06,269.71,-3.79,94.7,4.87
2020/1/1 21:50,1004.84,-3,269.78,-3.78,94.3,4.89
2020/1/1 22:00,1004.76,-3.21,269.58,-4.03,94,4.82
2020/1/1 22:10,1004.64,-3.27,269.53,-4.05,94.3,4.8
2020/1/1 22:20,1004.61,-3.31,269.49,-4.08,94.4,4.78
2020/1/1 22:30,1004.54,-3.39,269.42,-4.11,94.7,4.75
2020/1/1 22:40,1004.51,-3.35,269.47,-4.05,94.8,4.77
2020/1/1 22:50,1004.62,-3.29,269.51,-3.99,94.9,4.79
2020/1/1 23:00,1004.56,-3.19,269.62,-3.94,94.5,4.83
2020/1/1 23:10,1004.45,-3.2,269.62,-3.99,94.2,4.82
2020/1/1 23:20,1004.35,-3.32,269.5,-4.23,93.4,4.78
2020/1/1 23:30,1004.28,-3.09,269.74,-4.03,93.2,4.86
2020/1/1 23:40,1004.29,-2.96,269.87,-4.3,90.4,4.91
2020/1/1 23:50,1004.26,-3.46,269.38,-4.89,89.7,4.73
2020/1/2 0:00,1004.16,-3.39,269.45,-4.58,91.4,4.75
2020/1/2 0:10,1004.13,-3.47,269.37,-4.68,91.3,4.72
2020/1/2 0:20,1004.13,-3.94,268.9,-5.16,91.2,4.56
2020/1/2 0:30,1004.11,-3.91,268.94,-5.11,91.3,4.57
2020/1/2 0:40,1004.09,-3.86,268.98,-4.96,92,4.59
2020/1/2 0:50,1004,-3.88,268.97,-5.17,90.7,4.58
2020/1/2 1:00,1003.96,-4.23,268.62,-5.6,90.1,4.46
2020/1/2 1:10,1003.86,-4.42,268.44,-5.65,91.1,4.4
2020/1/2 1:20,1003.9,-4.42,268.44,-5.43,92.6,4.4
2020/1/2 1:30,1003.76,-4.5,268.37,-5.47,92.9,4.37
2020/1/2 1:40,1003.75,-4.31,268.56,-5.14,93.9,4.43
2020/1/2 1:50,1003.72,-4.25,268.62,-5.25,92.7,4.45
2020/1/2 2:00,1003.76,-4.2,268.67,-5.14,93.1,4.47
2020/1/2 2:10,1003.73,-3.98,268.9,-4.92,93.1,4.55
2020/1/2 2:20,1003.67,-4.07,268.81,-5.28,91.2,4.52
2020/1/2 2:30,1003.51,-4.56,268.33,-6.13,88.7,4.35
2020/1/2 2:40,1003.51,-4.78,268.11,-6.2,89.7,4.28
2020/1/2 2:50,1003.49,-4.85,268.04,-5.94,92,4.26
2020/1/2 3:00,1003.38,-4.86,268.04,-5.88,92.5,4.25
2020/1/2 3:10,1003.27,-4.88,268.03,-5.9,92.5,4.25
2020/1/2 3:20,1003.17,-4.91,268.01,-6.04,91.7,4.24
2020/1/2 3:30,1003.12,-4.81,268.12,-6.14,90.3,4.27
2020/1/2 3:40,1003.07,-5.03,267.89,-6.25,91.1,4.2
2020/1/2 3:50,1003.08,-5.12,267.81,-6.25,91.7,4.17
2020/1/2 4:00,1003.12,-4.72,268.2,-5.78,92.2,4.3
2020/1/2 4:10,1003.22,-4.45,268.47,-5.76,90.5,4.39
2020/1/2 4:20,1003.37,-4.54,268.36,-5.98,89.6,4.36
2020/1/2 4:30,1003.32,-5.02,267.89,-6.48,89.4,4.2
2020/1/2 4:40,1003.15,-5.39,267.53,-6.63,90.9,4.08
2020/1/2 4:50,1002.99,-5.48,267.46,-6.72,90.9,4.06
2020/1/2 5:00,1002.82,-5.43,267.52,-6.81,89.9,4.07
2020/1/2 5:10,1002.67,-4.96,268,-6.46,89.1,4.22
2020/1/2 5:20,1002.65,-4.87,268.09,-6.92,85.4,4.25
2020/1/2 5:30,1002.67,-5.22,267.73,-6.84,88.3,4.14
2020/1/2 5:40,1002.62,-5.43,267.53,-6.83,89.8,4.07
2020/1/2 5:50,1002.55,-5.53,267.44,-6.89,90,4.04
2020/1/2 6:00,1002.53,-5.45,267.52,-6.63,91.3,4.07
2020/1/2 6:10,1002.51,-5.58,267.39,-6.84,90.7,4.03
2020/1/2 6:20,1002.53,-5.78,267.19,-7.03,90.8,3.97
2020/1/2 6:30,1002.53,-5.69,267.28,-6.91,91,3.99
2020/1/2 6:40,1002.52,-5.44,267.53,-6.76,90.3,4.07
2020/1/2 6:50,1002.44,-5.46,267.52,-7.04,88.5,4.06
2020/1/2 7:00,1002.41,-5.47,267.51,-6.88,89.7,4.06
2020/1/2 7:10,1002.37,-5.05,267.93,-6.67,88.3,4.19
2020/1/2 7:20,1002.4,-4.94,268.04,-6.69,87.4,4.23
2020/1/2 7:30,1002.4,-4.8,268.18,-6.69,86.5,4.27
2020/1/2 7:40,1002.36,-4.91,268.07,-6.78,86.6,4.24
2020/1/2 7:50,1002.35,-5.12,267.86,-6.88,87.4,4.17
2020/1/2 8:00,1002.38,-5.13,267.84,-6.97,86.8,4.17
2020/1/2 8:10,1002.36,-5.58,267.4,-7.29,87.6,4.03
2020/1/2 8:20,1002.35,-5.66,267.32,-7,90.2,4
2020/1/2 8:30,1002.27,-5.44,267.55,-6.75,90.4,4.07
2020/1/2 8:40,1002.18,-4.73,268.26,-6.47,87.5,4.3
2020/1/2 8:50,1002.21,-4.44,268.55,-6.65,84.4,4.39
2020/1/2 9:00,1002.19,-4.39,268.6,-6.71,83.7,4.41
2020/1/2 9:10,1002.25,-4.71,268.28,-6.98,84,4.3
2020/1/2 9:20,1002.19,-4.68,268.31,-6.62,86.2,4.31
2020/1/2 9:30,1002.05,-4.13,268.87,-6.58,82.9,4.5
2020/1/2 9:40,1002.01,-4.07,268.93,-6.54,82.8,4.51
2020/1/2 9:50,1002,-4.04,268.97,-6.51,82.8,4.53
2020/1/2 10:00,1001.81,-4.16,268.86,-6.5,83.6,4.49
2020/1/2 10:10,1001.66,-3.81,269.23,-6.11,83.9,4.61
2020/1/2 10:20,1001.66,-3.53,269.51,-5.88,83.6,4.7
2020/1/2 10:30,1001.57,-3.02,270.02,-5.74,81.4,4.89
2020/1/2 10:40,1001.52,-2.78,270.26,-5.7,80.2,4.98
2020/1/2 10:50,1001.42,-1.87,271.18,-5.34,77,5.32
2020/1/2 11:00,1001.32,-1.24,271.81,-5.31,73.7,5.58
2020/1/2 11:10,1001.39,-0.91,272.14,-5.17,72.7,5.71
2020/1/2 11:20,1001.38,-0.56,272.49,-5.07,71.4,5.86
2020/1/2 11:30,1001.18,-0.59,272.48,-5.1,71.4,5.85
2020/1/2 11:40,1001.01,-0.19,272.89,-4.93,70.2,6.02
2020/1/2 11:50,1000.87,0.48,273.57,-4.85,67.31,6.32
2020/1/2 12:00,1000.7,1.06,274.17,-4.72,65.15,6.6
2020/1/2 12:10,1000.49,1.8,274.92,-4.79,61.45,6.96
2020/1/2 12:20,1000.23,1.92,275.06,-4.63,61.68,7.02
2020/1/2 12:30,1000.03,2.72,275.88,-4.24,59.96,7.43
2020/1/2 12:40,999.8,3.47,276.65,-3.93,58.23,7.84
2020/1/2 12:50,999.66,4.37,277.56,-3.76,55.33,8.35
2020/1/2 13:00,999.58,4.98,278.17,-3.81,52.83,8.71
2020/1/2 13:10,999.46,5.58,278.78,-3.84,50.54,9.09
2020/1/2 13:20,999.3,5.73,278.94,-3.25,52.29,9.18
2020/1/2 13:30,999.16,6.06,279.29,-2.83,52.72,9.4
2020/1/2 13:40,999.06,6.47,279.7,-2.31,53.29,9.67
2020/1/2 13:50,998.98,6.47,279.72,-2.18,53.8,9.67
2020/1/2 14:00,998.88,6.22,279.47,-2.02,55.42,9.5
2020/1/2 14:10,998.9,5.88,279.13,-1.7,58.09,9.28
2020/1/2 14:20,998.87,5.71,278.96,-1.41,60.07,9.17
2020/1/2 14:30,998.81,5.91,279.17,-1.26,59.87,9.3
2020/1/2 14:40,998.71,5.7,278.97,-1.26,60.77,9.17
2020/1/2 14:50,998.69,5.41,278.68,-1.36,61.54,8.98
2020/1/2 15:00,998.65,5.66,278.92,-1.42,60.22,9.14
2020/1/2 15:10,998.66,5.77,279.04,-1.39,59.89,9.21
2020/1/2 15:20,998.66,5.61,278.87,-1.28,61.08,9.11
2020/1/2 15:30,998.75,5.47,278.73,-1.25,61.8,9.02
2020/1/2 15:40,998.82,5.49,278.74,-1.25,61.73,9.03
2020/1/2 15:50,998.94,4.96,278.21,-1.33,63.64,8.71
2020/1/2 16:00,998.97,4.28,277.52,-1.39,66.44,8.3
2020/1/2 16:10,999.12,3.69,276.92,-1.51,68.68,7.96
2020/1/2 16:20,999.13,3.36,276.59,-1.55,70.1,7.78
2020/1/2 16:30,999.28,3.25,276.47,-1.67,69.98,7.72
2020/1/2 16:40,999.39,3.18,276.39,-1.88,69.27,7.68
2020/1/2 16:50,999.44,3.06,276.26,-1.76,70.5,7.61
2020/1/2 17:00,999.45,2.88,276.08,-1.99,70.2,7.52
2020/1/2 17:10,999.51,2.61,275.81,-2.04,71.3,7.37
2020/1/2 17:20,999.52,2.32,275.52,-2.13,72.3,7.22
2020/1/2 17:30,999.59,1.91,275.1,-2.14,74.4,7.01
2020/1/2 17:40,999.56,1.42,274.62,-2.31,76.1,6.77
2020/1/2 17:50,999.58,1.41,274.6,-2.17,77,6.76
2020/1/2 18:00,999.58,1.41,274.6,-2.28,76.3,6.77
2020/1/2 18:10,999.68,1.12,274.3,-2.41,77.2,6.62
2020/1/2 18:20,999.67,1.16,274.35,-2.35,77.3,6.65
2020/1/2 18:30,999.71,0.91,274.09,-2.49,77.9,6.52
2020/1/2 18:40,999.83,0.62,273.79,-2.6,78.9,6.39
2020/1/2 18:50,999.98,0.15,273.32,-2.8,80.4,6.18
2020/1/2 19:00,999.99,-0.08,273.08,-2.82,81.7,6.07
2020/1/2 19:10,1000.07,-0.22,272.93,-2.83,82.5,6.01
2020/1/2 19:20,1000.11,-0.25,272.91,-2.86,82.4,6
2020/1/2 19:30,1000.05,-0.47,272.69,-2.99,83,5.9
2020/1/2 19:40,1000.04,-0.46,272.7,-2.93,83.3,5.91
2020/1/2 19:50,1000.14,-0.71,272.44,-3.03,84.2,5.8
2020/1/2 20:00,1000.08,-0.29,272.86,-2.67,83.9,5.98
2020/1/2 20:10,1000.15,-0.36,272.79,-2.78,83.6,5.95
2020/1/2 20:20,1000.06,-0.52,272.63,-2.88,84,5.88
2020/1/2 20:30,1000.02,-0.56,272.6,-2.85,84.4,5.86
2020/1/2 20:40,999.93,-0.53,272.63,-2.81,84.5,5.87
2020/1/2 20:50,999.81,-0.59,272.59,-2.83,84.7,5.85
2020/1/2 21:00,999.7,-0.49,272.7,-2.67,85.1,5.89
2020/1/2 21:10,999.58,-0.42,272.77,-2.6,85.1,5.92
2020/1/2 21:20,999.54,-0.19,273,-2.41,84.9,6.02
2020/1/2 21:30,999.54,-0.07,273.13,-2.34,84.6,6.08
2020/1/2 21:40,999.51,-0.01,273.18,-2.24,84.9,6.1
2020/1/2 21:50,999.34,0.06,273.27,-2.12,85.2,6.14
2020/1/2 22:00,999.17,0.09,273.31,-2.07,85.3,6.15
2020/1/2 22:10,999.05,0.33,273.57,-1.87,85.1,6.26
2020/1/2 22:20,998.96,0.47,273.71,-1.86,84.3,6.32
2020/1/2 22:30,998.84,0.35,273.6,-1.93,84.6,6.26
2020/1/2 22:40,998.69,0.22,273.48,-1.93,85.4,6.21
2020/1/2 22:50,998.56,0.26,273.54,-1.87,85.5,6.23
2020/1/2 23:00,998.56,0.25,273.52,-1.85,85.7,6.22
2020/1/2 23:10,998.55,0.46,273.74,-1.61,85.9,6.32
2020/1/2 23:20,998.66,0.74,274,-1.42,85.4,6.44
2020/1/2 23:30,998.68,0.79,274.05,-1.45,84.9,6.47
2020/1/2 23:40,998.59,0.72,273.99,-1.46,85.2,6.44
2020/1/2 23:50,998.53,0.75,274.03,-1.36,85.7,6.45
2020/1/3 0:00,998.45,0.88,274.16,-1.22,85.8,6.51
2020/1/3 0:10,998.39,0.93,274.21,-1.14,86,6.53
2020/1/3 0:20,998.25,0.88,274.17,-1.2,85.9,6.51
2020/1/3 0:30,998.07,0.69,274,-1.28,86.6,6.42
2020/1/3 0:40,997.99,0.74,274.06,-1.14,87.2,6.44
2020/1/3 0:50,998.01,0.92,274.24,-0.91,87.5,6.53
2020/1/3 1:00,997.93,1.42,274.74,-0.56,86.6,6.77
2020/1/3 1:10,997.77,1.67,275.01,-0.4,86,6.9
2020/1/3 1:20,997.67,1.9,275.24,-0.28,85.4,7.01
2020/1/3 1:30,997.57,1.99,275.34,-0.25,85,7.05
2020/1/3 1:40,997.41,2.01,275.38,-0.23,85,7.06
2020/1/3 1:50,997.26,2.08,275.45,-0.19,84.9,7.1
2020/1/3 2:00,997.14,1.96,275.34,-0.27,85.1,7.04
2020/1/3 2:10,997.01,1.78,275.17,-0.33,85.8,6.95
2020/1/3 2:20,997.04,1.63,275.03,-0.37,86.5,6.88
2020/1/3 2:30,996.96,1.54,274.94,-0.42,86.7,6.83
2020/1/3 2:40,996.86,1.57,274.98,-0.32,87.2,6.84
2020/1/3 2:50,996.71,1.74,275.16,-0.24,86.6,6.93
2020/1/3 3:00,996.73,1.92,275.34,-0.02,86.9,7.02
2020/1/3 3:10,996.59,2.38,275.8,0.19,85.4,7.25
2020/1/3 3:20,996.44,2.65,276.09,0.41,85.1,7.4
2020/1/3 3:30,996.37,2.95,276.4,0.57,84.3,7.55
2020/1/3 3:40,996.32,3.07,276.52,0.64,84,7.62
2020/1/3 3:50,996.26,3.25,276.7,0.76,83.7,7.71
2020/1/3 4:00,996.14,3.05,276.52,0.54,83.5,7.61
2020/1/3 4:10,996.12,2.87,276.33,0.54,84.6,7.51
2020/1/3 4:20,996.04,2.84,276.31,0.53,84.7,7.49
2020/1/3 4:30,995.89,2.9,276.39,0.66,85.1,7.53
2020/1/3 4:40,995.81,2.95,276.44,0.71,85.1,7.55
2020/1/3 4:50,995.67,3.14,276.64,0.88,85.1,7.65
2020/1/3 5:00,995.58,3.26,276.77,0.97,84.9,7.72
2020/1/3 5:10,995.53,3.27,276.79,0.99,84.9,7.73
2020/1/3 5:20,995.54,3.27,276.78,1,85,7.73
2020/1/3 5:30,995.5,3.11,276.63,0.76,84.5,7.64
2020/1/3 5:40,995.45,2.5,276.02,0.39,85.9,7.31
2020/1/3 5:50,995.42,2.32,275.84,0.39,87,7.22
2020/1/3 6:00,995.36,2.33,275.85,0.44,87.3,7.23
2020/1/3 6:10,995.35,2.44,275.96,0.54,87.2,7.28
2020/1/3 6:20,995.33,2.57,276.1,0.52,86.3,7.35
2020/1/3 6:30,995.27,2.62,276.16,0.48,85.7,7.38
2020/1/3 6:40,995.2,2.67,276.21,0.48,85.4,7.4
2020/1/3 6:50,995.19,2.65,276.19,0.49,85.6,7.39
2020/1/3 7:00,995.16,2.62,276.17,0.53,86,7.38
2020/1/3 7:10,995.13,2.66,276.21,0.56,86,7.4
2020/1/3 7:20,995.06,2.71,276.26,0.63,86.1,7.43
2020/1/3 7:30,995.01,2.8,276.35,0.63,85.6,7.47
2020/1/3 7:40,994.84,2.88,276.45,0.68,85.4,7.52
2020/1/3 7:50,994.68,3.09,276.67,0.74,84.5,7.63
2020/1/3 8:00,994.6,3.37,276.96,0.97,84.2,7.78
2020/1/3 8:10,994.69,3.79,277.37,1.15,82.8,8.02
2020/1/3 8:20,994.69,3.92,277.5,1.21,82.4,8.09
2020/1/3 8:30,994.63,3.93,277.52,1.15,82,8.1
2020/1/3 8:40,994.61,3.61,277.2,0.84,82,7.92
2020/1/3 8:50,994.55,3.38,276.97,0.78,83,7.79
2020/1/3 9:00,994.4,3.3,276.91,0.82,83.7,7.75
2020/1/3 9:10,994.25,3.47,277.08,0.93,83.4,7.84
2020/1/3 9:20,994.23,3.39,277.01,0.79,83,7.79
2020/1/3 9:30,994.33,3.27,276.88,0.79,83.7,7.73
2020/1/3 9:40,994.24,3.27,276.89,0.84,84,7.73
2020/1/3 9:50,994.12,3.29,276.91,0.87,84.1,7.74
2020/1/3 10:00,994.02,3.32,276.96,0.89,84,7.76
2020/1/3 10:10,993.94,3.41,277.05,0.95,83.9,7.8
2020/1/3 10:20,993.87,3.5,277.15,1.01,83.7,7.85
2020/1/3 10:30,993.78,3.57,277.22,1.06,83.6,7.89
2020/1/3 10:40,993.68,3.7,277.37,1.15,83.3,7.97
2020/1/3 10:50,993.76,3.91,277.56,1.26,82.8,8.08
2020/1/3 11:00,993.62,4,277.67,1.27,82.3,8.14
2020/1/3 11:10,993.48,4.1,277.78,1.35,82.2,8.19
2020/1/3 11:20,993.36,4.16,277.85,1.34,81.8,8.23
2020/1/3 11:30,993.19,4.2,277.9,1.41,82,8.25
2020/1/3 11:40,992.94,4.3,278.03,1.5,81.9,8.31
2020/1/3 11:50,992.8,4.47,278.2,1.68,82,8.41
2020/1/3 12:00,992.75,4.74,278.48,1.82,81.3,8.57
2020/1/3 12:10,992.66,4.94,278.69,1.9,80.6,8.69
2020/1/3 12:20,992.45,5,278.77,1.92,80.4,8.73
2020/1/3 12:30,992.15,5.2,278.99,2.08,80.2,8.85
2020/1/3 12:40,991.91,5.88,279.69,2.4,78.3,9.28
2020/1/3 12:50,991.84,6.81,280.62,2.64,74.7,9.89
2020/1/3 13:00,991.91,6.98,280.79,2.62,73.7,10.01
2020/1/3 13:10,991.91,7,280.81,2.56,73.3,10.02
2020/1/3 13:20,991.8,6.99,280.81,2.56,73.3,10.02
2020/1/3 13:30,991.73,6.93,280.76,2.54,73.5,9.98
2020/1/3 13:40,991.6,6.84,280.67,2.52,73.9,9.92
2020/1/3 13:50,991.52,6.71,280.55,2.53,74.6,9.83
2020/1/3 14:00,991.35,6.67,280.53,2.53,74.8,9.8
2020/1/3 14:10,991.19,6.59,280.46,2.51,75.1,9.75
2020/1/3 14:20,991.19,6.54,280.41,2.55,75.6,9.71
2020/1/3 14:30,991.41,6.54,280.39,2.61,75.9,9.71
2020/1/3 14:40,991.51,6.47,280.31,2.6,76.2,9.67
2020/1/3 14:50,991.47,6.41,280.26,2.65,76.8,9.63
2020/1/3 15:00,991.47,6.45,280.29,2.67,76.7,9.65
2020/1/3 15:10,991.47,6.41,280.25,2.68,77,9.63
2020/1/3 15:20,991.55,6.46,280.3,2.68,76.7,9.66
